,published_year,type,crossref_dois,openalex_ids,openalex_has_openalex_type,openalex_has_abstract,openalex_has_affiliations,openalex_has_affiliations_countrycode,openalex_has_affiliations_sourceid,openalex_has_affiliations_ror,openalex_has_affiliations_string,openalex_has_authors,openalex_has_authors_sourceid,openalex_has_authors_orcid,openalex_has_authors_sequence,openalex_has_authors_string,openalex_has_citations,openalex_has_fields,openalex_has_references,openalex_has_venue,openalex_has_venue_issnl,openalex_has_venue_sourceid,openalex_has_venue_issn,openalex_has_venue_string,openalex_abstract_adds_presence,openalex_abstract_adds_counts,openalex_affiliations_adds_presence,openalex_affiliations_adds_counts,openalex_affiliations_countrycode_adds_presence,openalex_affiliations_countrycode_adds_counts,openalex_affiliations_sourceid_adds_presence,openalex_affiliations_sourceid_adds_counts,openalex_affiliations_ror_adds_presence,openalex_affiliations_ror_adds_counts,openalex_affiliations_string_adds_presence,openalex_affiliations_string_adds_counts,openalex_authors_adds_presence,openalex_authors_adds_counts,openalex_authors_sourceid_adds_presence,openalex_authors_sourceid_adds_counts,openalex_authors_orcid_adds_presence,openalex_authors_orcid_adds_counts,openalex_authors_sequence_adds_presence,openalex_authors_sequence_adds_counts,openalex_authors_string_adds_presence,openalex_authors_string_adds_counts,openalex_citations_adds_presence,openalex_citations_adds_counts,openalex_fields_adds_presence,openalex_fields_adds_counts,openalex_references_adds_presence,openalex_references_adds_counts,openalex_venue_adds_presence,openalex_venue_adds_counts,openalex_venue_issnl_adds_presence,openalex_venue_issnl_adds_counts,openalex_venue_sourceid_adds_presence,openalex_venue_sourceid_adds_counts,openalex_venue_issn_adds_presence,openalex_venue_issn_adds_counts,openalex_venue_string_adds_presence,openalex_venue_string_adds_counts,crossref_ids,crossref_has_crossref_type,crossref_has_abstract,crossref_has_affiliations,crossref_has_affiliations_ror,crossref_has_affiliations_string,crossref_has_authors,crossref_has_authors_orcid,crossref_has_authors_sequence,crossref_has_authors_string,crossref_has_citations,crossref_has_fields,crossref_has_references,crossref_has_venue,crossref_has_venue_issn,crossref_has_venue_string
0,2203,journal-article,20,20,20,0,0,0,0,0,0,20,20,0,20,20,4,20,0,20,20,20,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,20,0,0,20,20,0,0,0,0,20,0,20,20,8,20,0,20,20,20
1,2200,journal-article,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,1,0,0,0,1,1,1
2,2122,journal-article,1,1,1,1,0,0,0,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,1,1,1,1,0,1,1,1
3,2121,book,2,2,2,2,0,0,0,0,0,2,2,0,2,2,0,2,0,2,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,2,0,0,2,2,0,0,2,2,2,2,2,0,0,0,2,0,2,2,0,0,0,0,0,0
4,2121,journal-article,36,36,36,23,29,29,29,29,29,35,35,10,35,35,2,36,4,35,34,35,34,36,0,0,29,29,29,29,29,29,29,29,29,29,10,10,10,10,10,10,10,10,10,10,0,0,22,14,4,4,0,0,0,0,0,0,0,0,0,0,36,36,23,0,0,0,25,0,25,25,3,14,0,36,35,36
5,2121,journal-issue,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,1,0,2,2,2
6,2117,journal-article,5,5,5,0,0,0,0,0,0,5,5,0,5,5,0,5,0,5,5,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,5,0,5,5,0,0,0,5,5,5
7,2116,journal-article,16,16,16,0,0,0,0,0,0,16,16,1,16,16,6,16,0,16,16,16,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,16,16,0,0,0,0,16,0,16,16,6,0,1,16,16,16
8,2115,journal-article,24,24,24,1,1,1,1,1,1,24,24,1,24,24,11,24,1,24,24,24,24,24,1,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,24,0,1,1,0,0,0,0,0,0,0,0,0,0,24,24,0,0,0,0,24,0,24,24,12,0,0,24,24,24
9,2114,journal-article,29,29,29,3,0,0,0,0,0,29,29,1,29,29,13,29,3,29,29,29,29,29,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,3,29,0,3,3,0,0,0,0,0,0,0,0,0,0,29,29,0,0,0,0,29,0,29,29,14,0,0,29,29,29
10,2109,journal-article,10,10,10,8,7,7,7,7,7,10,10,5,10,10,7,10,8,10,10,10,10,10,8,0,7,7,7,7,7,7,7,7,7,7,2,2,2,2,5,5,2,2,2,2,2,3,2,7,6,6,0,0,0,0,0,0,0,1,0,0,10,10,0,0,0,0,8,0,8,8,5,8,2,10,10,10
11,2109,journal-issue,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1
12,2108,journal-article,20,20,20,0,0,0,0,0,0,20,20,1,20,20,0,20,0,20,20,20,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,16,0,0,0,0,0,0,0,0,0,10,0,0,20,20,0,0,0,0,20,0,20,20,0,18,0,20,20,20
13,2107,journal-article,7,6,6,2,2,1,1,1,2,6,6,2,6,6,2,6,0,6,6,6,6,6,2,0,2,2,1,1,1,1,1,1,2,2,0,0,0,0,2,2,0,0,0,0,0,2,5,1,0,0,0,0,0,0,0,0,2,2,0,0,7,7,0,1,0,1,7,0,7,7,2,1,0,7,5,7
14,2106,journal-article,32,32,32,4,6,5,5,5,6,22,22,4,22,22,9,32,1,32,32,32,32,32,4,0,6,6,5,5,5,5,5,5,6,6,0,0,0,0,4,4,0,0,0,0,0,3,24,8,1,1,0,0,0,0,0,0,0,18,0,0,32,32,0,0,0,0,22,0,22,22,10,8,0,32,32,32
15,2106,journal-issue,2,2,2,0,0,0,0,0,0,0,0,0,0,0,1,2,0,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2,2,0,0,0,0,0,0,0,0,1,2,0,2,2,2
16,2105,book,1,1,1,0,0,0,0,0,0,1,1,1,1,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,1,1,0,0,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,2105,book-chapter,8,8,8,0,0,0,0,0,0,5,5,0,5,5,1,8,0,8,0,8,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,0,0,0,0,5,0,5,5,1,0,0,8,0,8
18,2105,journal-article,10,10,10,1,1,0,0,0,1,10,10,0,10,10,1,10,0,10,10,10,10,10,1,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,8,0,0,10,10,0,0,0,0,10,0,10,10,1,1,0,10,10,10
19,2105,proceedings-article,1,1,1,1,0,0,0,0,0,1,1,1,1,1,0,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,1,0,1,1,0,0,0,1,0,1
20,2104,journal-article,11,11,11,6,6,6,6,6,6,10,11,5,11,10,4,11,0,11,11,11,11,11,6,0,6,6,6,6,6,6,6,6,6,6,0,1,1,1,5,5,0,1,0,1,0,0,11,0,0,0,0,0,0,0,0,0,0,6,0,0,11,11,0,0,0,0,10,0,11,10,5,0,3,11,11,11
