,published_year,type,num_objects,num_dois,num_non_dois,objects_has_abstract,objects_has_affiliations,objects_has_affiliations_id_ror,objects_has_affiliations_string,objects_has_authors,objects_has_authors_id_orcid,objects_has_authors_sequence,objects_has_authors_string,objects_has_citations,objects_has_fields,objects_has_funders,objects_has_funders_id_doi,objects_has_funders_id_source,objects_has_funders_string,objects_has_references,objects_has_venue,objects_has_venue_id_issn,objects_has_venue_string,dois_has_abstract,dois_has_affiliations,dois_has_affiliations_id_ror,dois_has_affiliations_string,dois_has_authors,dois_has_authors_id_orcid,dois_has_authors_sequence,dois_has_authors_string,dois_has_citations,dois_has_fields,dois_has_funders,dois_has_funders_id_doi,dois_has_funders_id_source,dois_has_funders_string,dois_has_references,dois_has_venue,dois_has_venue_id_issn,dois_has_venue_string,non_dois_has_abstract,non_dois_has_affiliations,non_dois_has_affiliations_id_ror,non_dois_has_affiliations_string,non_dois_has_authors,non_dois_has_authors_id_orcid,non_dois_has_authors_sequence,non_dois_has_authors_string,non_dois_has_citations,non_dois_has_fields,non_dois_has_funders,non_dois_has_funders_id_doi,non_dois_has_funders_id_source,non_dois_has_funders_string,non_dois_has_references,non_dois_has_venue,non_dois_has_venue_id_issn,non_dois_has_venue_string
0,2203,journal-article,20,20,0,0,0,0,0,20,0,20,20,8,20,0,0,0,0,0,20,20,20,0,0,0,0,20,0,20,20,8,20,0,0,0,0,0,20,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2200,journal-article,1,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2122,journal-article,1,1,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,2121,edited-book,2,2,0,2,0,0,0,2,0,2,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,2121,journal-article,36,36,0,23,0,0,0,25,0,25,25,7,14,0,0,0,0,0,36,35,36,23,0,0,0,25,0,25,25,7,14,0,0,0,0,0,36,35,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,2121,journal-issue,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,2117,journal-article,5,5,0,0,0,0,0,5,0,5,5,0,0,0,0,0,0,0,5,5,5,0,0,0,0,5,0,5,5,0,0,0,0,0,0,0,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,2116,journal-article,16,16,0,0,0,0,0,16,0,16,16,7,0,0,0,0,0,1,16,16,16,0,0,0,0,16,0,16,16,7,0,0,0,0,0,1,16,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,2115,journal-article,24,24,0,0,0,0,0,24,0,24,24,12,0,0,0,0,0,0,24,24,24,0,0,0,0,24,0,24,24,12,0,0,0,0,0,0,24,24,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,2114,journal-article,29,29,0,0,0,0,0,29,0,29,29,14,0,0,0,0,0,0,29,29,29,0,0,0,0,29,0,29,29,14,0,0,0,0,0,0,29,29,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,2109,journal-article,10,10,0,0,0,0,0,8,0,8,8,6,8,0,0,0,0,2,10,10,10,0,0,0,0,8,0,8,8,6,8,0,0,0,0,2,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,2109,journal-issue,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
